site_id,region,beach_name,beaches,previous_visit_start_date,next_visit_start_date,match_quality,site_review_reason,scope,split_id,actual_repollution_kg_per_day,predicted_repollution_kg_per_day_extra_trees,actual_positive_repollution
3,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 295,2023-08-25,2024-04-12,canonical_high,multiple_special_numbers; multiple_regions,strict,1,0.0,0.01385941084254805,0
6,ΠΑΤΡΟΚΛΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 5,2019-08-08,2023-08-25,canonical_medium,multiple_special_numbers; multiple_regions,strict,1,0.0,0.08273659290946186,0
6,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΆΓΙΟΣ ΓΕΏΡΓΙΟΣ ΠΑΡΑΛΊΑ 296,2023-08-25,2024-04-12,canonical_medium,multiple_special_numbers; multiple_regions,strict,1,0.0,0.01385941084254805,0
9,ΔΟΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (2) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 1 (3),2019-08-11,2020-01-26,canonical_medium,multiple_regions,strict,1,0.2409638554216867,1.1334321094193576,1
9,ΣΠΕΤΣΕΣ - ΔΟΚΟΣ-ΥΔΡΑ-ΑΓΚΙΣΤΡΙ- ΑΙΓΙΝΑ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 32,2020-01-26,2023-06-09,canonical_medium,multiple_regions,strict,1,0.1739837398373983,0.05186045268901598,1
9,ΑΡΓΟΣΑΡΩΝΙΚΟΣ,,ΔΟΚΌΣ ΠΑΡΑΛΊΑ 128 (1) | ΔΟΚΌΣ ΠΑΡΑΛΊΑ 128 (2),2023-06-09,2025-10-14,canonical_medium,multiple_regions,strict,1,0.1225204200700116,0.09688939746130652,1
23,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 11,2019-09-06,2023-08-02,canonical_high,multiple_special_numbers; multiple_regions,strict,1,0.0610098176718092,0.08836173652464409,1
24,ΑΝΑΤΟΛΙΚΗ ΠΕΛΟΠΟΝΝΗΣΟΣ,,ΑΡΓΟΛΊΔΑ ΠΑΡΑΛΊΑ 12,2019-09-07,2023-08-06,canonical_high,multiple_regions,strict,1,0.0146955913226032,0.03753218030565088,1
79,ΑΜΟΡΓΟΣ,ΠΑΡΑΛΊΑ ΜΟΝΑΣΤΉΡΙ,ΑΜΟΡΓΌΣ ΠΑΡΑΛΊΑ 1,2019-09-30,2024-06-03,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,strict,1,0.0,0.00035085767367856204,0
89,ΣΙΚΙΝΟΣ,ΠΑΡΑΛΊΑ ΜΆΛΤΑ,ΣΊΚΙΝΟΣ ΠΑΡΑΛΊΑ 1,2019-10-02,2024-05-14,canonical_high,multiple_special_numbers,strict,1,0.0658362989323843,0.03450181710870594,1
92,ΦΟΛΕΓΑΝΔΡΟΣ,ΠΑΡΑΛΊΑ ΛΙΒΑΔΆΚΙ,ΦΟΛΈΓΑΝΔΡΟΣ ΠΑΡΑΛΊΑ 2,2019-10-03,2024-05-13,canonical_high,multiple_special_numbers,strict,1,0.0362232779097387,0.0017240058250587614,1
