interval_id,canonical_site_id,Date,Latitude,Longitude,demographic_coordinate_source
0,1,2019-07-31,37.656139,23.956917,interval_coordinate
1,1,2021-03-05,37.6530975,23.9587915,interval_coordinate
2,1,2021-03-17,37.656139,23.956917,interval_coordinate
3,1,2023-08-26,37.65531742857143,23.957472142857146,interval_coordinate
4,1,2023-09-02,37.656722,23.954667,interval_coordinate
5,2,2019-08-02,37.6565,23.950917,interval_coordinate
6,2,2021-03-04,37.6565415,23.9503195,interval_coordinate
7,2,2023-08-27,37.656667,23.951333,interval_coordinate
8,3,2023-08-25,37.483111,23.90675,interval_coordinate
9,4,2019-08-03,37.656069,23.945375,interval_coordinate
10,4,2021-03-04,37.656069,23.945375,interval_coordinate
11,4,2023-08-27,37.6559724,23.9437836,interval_coordinate
12,5,2023-08-25,37.487490666666666,23.901111,interval_coordinate
13,6,2019-08-08,37.481969,23.9105,interval_coordinate
14,6,2023-08-25,37.482,23.910111,interval_coordinate
15,7,2023-08-25,37.480083,23.914028,interval_coordinate
16,8,2019-08-11,37.347844,23.276108,interval_coordinate
17,9,2019-08-11,37.338733,23.298261,interval_coordinate
18,9,2020-01-26,37.338703,23.298328,interval_coordinate
19,9,2023-06-09,37.338778,23.298306,interval_coordinate
20,10,2019-08-14,37.338478,23.303542,interval_coordinate
21,10,2020-01-26,37.338606,23.303336,interval_coordinate
22,10,2023-06-08,37.338639,23.303333,interval_coordinate
23,11,2019-08-16,37.334614,23.334371333333333,interval_coordinate
24,11,2023-05-27,37.334861,23.336,interval_coordinate
25,11,2023-06-05,37.33474066666667,23.334379666666667,interval_coordinate
26,12,2019-08-21,37.345981,23.320642,interval_coordinate
27,12,2023-06-08,37.3455278,23.3192164,interval_coordinate
28,16,2019-08-30,37.633028,23.339183,interval_coordinate
29,16,2025-11-03,37.633111,23.339306,interval_coordinate
30,17,2019-08-31,37.507731,23.408819,interval_coordinate
31,18,2019-09-03,37.630081,23.333064,interval_coordinate
32,18,2023-07-28,37.631083,23.3355,interval_coordinate
33,18,2025-11-03,37.63113933333334,23.335518333333336,interval_coordinate
34,19,2019-09-04,37.569878,23.360492,interval_coordinate
